Team,Coin ID,Coin Class,Surface,Final Tails,Final Heads,Heads %,Tails %,,,,,,
1,1B,1 NEW,Wood,50,50,50%,50%,,#3,,,,
1,2,2,Wood,56,44,56%,44%,,Coin Class,AVERAGE of Heads %,AVERAGE of Tails %,,
2,1B,1 NEW,Wood,49,51,49%,51%,,2,56.00%,44.00%,,
2,5A,5 OLD,Wood,46,54,46%,54%,,20,66.00%,34.00%,,
3,1B,1 NEW,Wood,47,53,47%,53%,,1 NEW,50.50%,49.50%,,
3,10A,10 OLD,Wood,48,52,48%,52%,,1 OLD,51.00%,49.00%,,
4,5A,5 OLD,Wood,45,55,45%,55%,,10 NEW,48.33%,51.67%,,
4,5B,5 NEW,Wood,47,53,47%,53%,,10 OLD,50.00%,50.00%,,
5,1A,1 OLD,Wood,41,59,41%,59%,,5 NEW,49.00%,51.00%,,
5,1B,1 NEW,Wood,57,43,57%,43%,,5 OLD,47.00%,53.00%,,
6,5B,5 NEW,Wood,54,46,54%,46%,,,,,,
6,20,20,Wood,72,28,72%,28%,,,,,,
7,5A,5 OLD,Wood,51,49,51%,49%,,,,,,
7,10A,10 OLD,Wood,50,50,50%,50%,,#4. Total Experiement Results,,,,
8,1A,1 OLD,Wood,48,52,48%,52%,,Grand Total,Heads,Tails,,
8,10B,10 NEW,Wood,44,56,44%,56%,,100%,51.26%,48.74%,,
9,5B,5 NEW,Tiles,52,48,52%,48%,,,,,,
9,1B,1 NEW,Tiles,49,51,49%,51%,,,,,,
9,20,20,Tiles,62,38,62%,38%,,,,,,
10,5B,5 NEW,Tiles,44,56,44%,56%,,#5,,,,
10,10B,10 NEW,Tiles,55,45,55%,45%,,AVERAGE of Heads %,Surface,,,
11,1A,1 OLD,Tiles,57,43,57%,43%,,Coin Class,Tiles,Wood,Grand Total,
11,10B,10 NEW,Tiles,46,54,46%,54%,,2,,56.00%,56.00%,
12,5B,5 NEW,Tiles,48,52,48%,52%,,20,63.00%,72.00%,66.00%,
12,5A,5 OLD,Tiles,46,54,46%,54%,,1 NEW,50.00%,50.75%,50.50%,
13,1A,1 OLD,Tiles,51,49,51%,49%,,1 OLD,55.33%,44.50%,51.00%,
13,10A,10 OLD,Tiles,52,48,52%,48%,,10 NEW,50.50%,44.00%,48.33%,
14,1A,1 OLD,Tiles,58,42,58%,42%,,10 OLD,52.00%,49.00%,50.00%,
14,20,20,Tiles,64,36,64%,36%,,5 NEW,48.25%,50.50%,49.00%,
15,1B,1 NEW,Tiles,51,49,51%,49%,,5 OLD,46.00%,47.33%,47.00%,
15,5B,5 NEW,Tiles,49,51,49%,51%,,Grand Total,52.27%,50.31%,51.26%,
,,,,3100,,,,,,,,,
,,,,,,,,,AVERAGE of Tails %,Surface,,,
,,,,,,,,,Coin Class,Tiles,Wood,Grand Total,
,,,,,,,,,2,,44.00%,44.00%,
,,,,,,,,,20,37.00%,28.00%,34.00%,
,,,,,,,,,1 NEW,50.00%,49.25%,49.50%,
,,,,,,,,,1 OLD,44.67%,55.50%,49.00%,
,,,,,,,,,10 NEW,49.50%,56.00%,51.67%,
,,,,,,,,,10 OLD,48.00%,51.00%,50.00%,
,,,,,,,,,5 NEW,51.75%,49.50%,51.00%,
,,,,,,,,,5 OLD,54.00%,52.67%,53.00%,
,,,,,,,,,Grand Total,47.73%,49.69%,48.74%,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,#5 graph,,,,
,,,,,,,,,Coin Class,Heads Surface,,Tails Surface,
,,,,,,,,,,H Tiles,T Tiles,H Wood,T Wood
,,,,,,,,,2,0.00%,0.00%,56.00%,44.00%
,,,,,,,,,20,63.00%,37.00%,72.00%,28.00%
,,,,,,,,,1 NEW,50.00%,50.00%,50.75%,49.25%
,,,,,,,,,1 OLD,55.33%,44.67%,44.50%,55.50%
,,,,,,,,,10 NEW,50.50%,49.50%,44.00%,56.00%
,,,,,,,,,10 OLD,52.00%,48.00%,49.00%,51.00%
,,,,,,,,,5 NEW,48.25%,51.75%,50.50%,49.50%
,,,,,,,,,5 OLD,46.00%,54.00%,47.33%,52.67%